parallel_threshold,cost_threshold_us,cost_per_operand_us,cost_per_nesting_us,average_regret
100,1,25,30,27.191280
50,1,25,30,38.666981
50,25,25,15,38.859056
100,25,50,15,39.792029
50,25,25,30,40.050684
100,5,25,15,40.257451
100,25,25,30,40.285818
50,1,50,15,44.099845
100,5,25,30,44.684962
50,1,25,15,47.063083
50,5,25,30,50.989075
100,25,25,15,51.927040
100,1,50,15,52.060504
50,5,50,30,52.168241
100,25,50,30,53.053631
100,1,25,15,54.914926
50,5,50,15,57.879240
50,25,50,15,58.279933
50,1,50,30,63.593012
50,5,25,15,65.916219
100,5,50,15,66.862211
100,1,50,30,67.411532
50,25,50,30,69.095914
100,5,50,30,109.878167
