case,parallel_threshold,cost_threshold_us,cost_per_operand_us,cost_per_nesting_us,sequential_ms,forced_parallel_ms,adaptive_ms,best_baseline_ms,regret,used_parallel,disjunctions_detected,estimated_branch_count,estimated_cost_us,branch_threshold,cost_gate_threshold_us,branch_gate_passed,cost_gate_passed,branches_created,branches_pruned,nogood_hits
synthetic_union_1x4,500,250,25,15,0.003,4.168,0.063,0.003,23.852775,false,1,1,140,500,12000,false,false,0,0,0
synthetic_union_2x8,500,250,25,15,0.003,0.669,0.263,0.003,84.002236,false,2,3,560,500,12000,false,false,0,0,0
synthetic_complement_4x4,500,250,25,15,0.002,1.009,0.041,0.002,25.053659,false,4,6,800,500,12000,false,false,0,0,0
synthetic_union_6x8,500,250,25,15,0.004,3243.070,0.125,0.004,33.998913,false,6,11,1680,500,12000,false,false,0,0,0
synthetic_complement_6x6,500,250,25,15,0.021,576.235,0.088,0.021,4.119455,false,6,10,1800,500,12000,false,false,0,0,0
hierarchy_100,500,250,25,15,1.588,1.195,0.064,1.195,0.053768,false,0,10,0,500,12000,false,false,0,0,0
univ_bench,500,250,25,15,0.038,0.035,0.004,0.035,0.109973,false,0,1,0,500,12000,false,false,0,0,0
disjunctive_5k,500,250,25,15,32.908,1416.108,1934.278,32.908,58.777656,true,1000,1500,70000,500,12000,true,true,1527,0,0
synthetic_union_1x4,500,250,25,30,0.003,4.168,0.498,0.003,187.972065,false,1,1,140,500,12000,false,false,0,0,0
synthetic_union_2x8,500,250,25,30,0.003,0.669,0.197,0.003,63.085304,false,2,3,560,500,12000,false,false,0,0,0
synthetic_complement_4x4,500,250,25,30,0.002,1.009,0.105,0.002,64.017073,false,4,6,1040,500,12000,false,false,0,0,0
synthetic_union_6x8,500,250,25,30,0.004,3243.070,0.321,0.004,87.178804,false,6,11,1680,500,12000,false,false,0,0,0
synthetic_complement_6x6,500,250,25,30,0.021,576.235,0.262,0.021,12.297838,false,6,10,2340,500,12000,false,false,0,0,0
hierarchy_100,500,250,25,30,1.588,1.195,0.110,1.195,0.092335,false,0,10,0,500,12000,false,false,0,0,0
univ_bench,500,250,25,30,0.038,0.035,0.007,0.035,0.196760,false,0,1,0,500,12000,false,false,0,0,0
disjunctive_5k,500,250,25,30,32.908,1416.108,1093.151,32.908,33.218010,true,1000,1500,70000,500,12000,true,true,1241,0,0
synthetic_union_1x4,500,250,50,15,0.003,4.168,0.188,0.003,70.884862,false,1,1,240,500,12000,false,false,0,0,0
synthetic_union_2x8,500,250,50,15,0.003,0.669,0.173,0.003,55.418850,false,2,3,960,500,12000,false,false,0,0,0
synthetic_complement_4x4,500,250,50,15,0.002,1.009,0.103,0.002,62.837805,false,4,6,1200,500,12000,false,false,0,0,0
synthetic_union_6x8,500,250,50,15,0.004,3243.070,0.248,0.004,67.370652,false,6,11,2880,500,12000,false,false,0,0,0
synthetic_complement_6x6,500,250,50,15,0.021,576.235,0.226,0.021,10.619737,false,6,10,2700,500,12000,false,false,0,0,0
hierarchy_100,500,250,50,15,1.588,1.195,0.117,1.195,0.097633,false,0,10,0,500,12000,false,false,0,0,0
univ_bench,500,250,50,15,0.038,0.035,0.007,0.035,0.210279,false,0,1,0,500,12000,false,false,0,0,0
disjunctive_5k,500,250,50,15,32.908,1416.108,1674.869,32.908,50.894887,true,1000,1500,120000,500,12000,true,true,1705,0,0
synthetic_union_1x4,500,250,50,30,0.003,4.168,0.009,0.003,3.420914,false,1,1,240,500,12000,false,false,0,0,0
synthetic_union_2x8,500,250,50,30,0.003,0.669,0.085,0.003,27.011821,false,2,3,960,500,12000,false,false,0,0,0
synthetic_complement_4x4,500,250,50,30,0.002,1.009,0.049,0.002,29.790244,false,4,6,1440,500,12000,false,false,0,0,0
synthetic_union_6x8,500,250,50,30,0.004,3243.070,0.133,0.004,36.259239,false,6,11,2880,500,12000,false,false,0,0,0
synthetic_complement_6x6,500,250,50,30,0.021,576.235,0.107,0.021,5.010667,false,6,10,3240,500,12000,false,false,0,0,0
hierarchy_100,500,250,50,30,1.588,1.195,0.077,1.195,0.064136,false,0,10,0,500,12000,false,false,0,0,0
univ_bench,500,250,50,30,0.038,0.035,0.004,0.035,0.106494,false,0,1,0,500,12000,false,false,0,0,0
disjunctive_5k,500,250,50,30,32.908,1416.108,1700.082,32.908,51.661050,true,1000,1500,120000,500,12000,true,true,1197,0,0
synthetic_union_1x4,500,500,25,15,0.003,4.168,0.015,0.003,5.624387,false,1,1,140,500,24000,false,false,0,0,0
synthetic_union_2x8,500,500,25,15,0.003,0.669,0.170,0.003,54.359744,false,2,3,560,500,24000,false,false,0,0,0
synthetic_complement_4x4,500,500,25,15,0.002,1.009,0.113,0.002,69.162195,false,4,6,800,500,24000,false,false,0,0,0
synthetic_union_6x8,500,500,25,15,0.004,3243.070,0.256,0.004,69.610054,false,6,11,1680,500,24000,false,false,0,0,0
synthetic_complement_6x6,500,500,25,15,0.021,576.235,0.237,0.021,11.121382,false,6,10,1800,500,24000,false,false,0,0,0
hierarchy_100,500,500,25,15,1.588,1.195,0.111,1.195,0.093022,false,0,10,0,500,24000,false,false,0,0,0
univ_bench,500,500,25,15,0.038,0.035,0.006,0.035,0.179534,false,0,1,0,500,24000,false,false,0,0,0
disjunctive_5k,500,500,25,15,32.908,1416.108,3678.632,32.908,111.784013,true,1000,1500,70000,500,24000,true,true,1999,0,0
synthetic_union_1x4,500,500,25,30,0.003,4.168,0.015,0.003,5.668554,false,1,1,140,500,24000,false,false,0,0,0
synthetic_union_2x8,500,500,25,30,0.003,0.669,0.089,0.003,28.489137,false,2,3,560,500,24000,false,false,0,0,0
synthetic_complement_4x4,500,500,25,30,0.002,1.009,0.066,0.002,40.109146,false,4,6,1040,500,24000,false,false,0,0,0
synthetic_union_6x8,500,500,25,30,0.004,3243.070,0.338,0.004,91.812772,false,6,11,1680,500,24000,false,false,0,0,0
synthetic_complement_6x6,500,500,25,30,0.021,576.235,0.294,0.021,13.826222,false,6,10,2340,500,24000,false,false,0,0,0
hierarchy_100,500,500,25,30,1.588,1.195,0.561,1.195,0.469263,false,0,10,0,500,24000,false,false,0,0,0
univ_bench,500,500,25,30,0.038,0.035,0.003,0.035,0.094316,false,0,1,0,500,24000,false,false,0,0,0
disjunctive_5k,500,500,25,30,32.908,1416.108,969.550,32.908,29.462105,true,1000,1500,70000,500,24000,true,true,1237,0,0
synthetic_union_1x4,500,500,50,15,0.003,4.168,0.047,0.003,17.854285,false,1,1,240,500,24000,false,false,0,0,0
